Code, Routine, Start Time, Stop Time, Description
FD, morning, 2018-03-05T11:49:11-05:00, 2018-03-05T12:23:33-05:00, Breakfast and Meds, UNFINISHED
BT, morning, 2018-03-05T12:27:43-05:00, 2018-03-05T12:40:11-05:00, Brush Teeth,
SH, morning, 2018-03-05T12:40:13-05:00, 2018-03-05T12:50:49-05:00, Shave and Shower,
FT, morning, 2018-03-05T12:50:49-05:00, 2018-03-05T13:16:32-05:00, Fissure Treatment,
CL, morning, 2018-03-05T13:16:33-05:00, 2018-03-05T13:16:51-05:00, Put Clothes On,
EY, morning, 2018-03-05T13:16:53-05:00, 2018-03-05T13:19:04-05:00, Eye Lubricant Again,
T, morning, 2018-03-05T13:19:08-05:00, 2018-03-05T13:20:03-05:00, Update Todo List,
B, morning, 2018-03-06T06:24:20-05:00, 2018-03-06T06:50:37-05:00, Get Out of Bed,
T, morning, , 2018-03-06T09:10:03-05:00, Calendar and Routine Todo List, finished earlier
EY, morning, 2018-03-06T09:11:04-05:00, 2018-03-06T10:14:00-05:00, Morning Eye Lubricant,
MB, morning, 2018-03-06T10:14:01-05:00, 2018-03-06T10:16:04-05:00, Make Bed,
FD, morning, 2018-03-06T11:00:16-05:00, 2018-03-06T11:38:43-05:00, Breakfast and Meds,
BT, morning, 2018-03-06T11:39:10-05:00, 2018-03-06T11:49:47-05:00, Brush Teeth,
SH, morning, 2018-03-06T11:51:05-05:00, 2018-03-06T11:59:13-05:00, Shave and Shower,
FT, morning, 2018-03-06T11:59:14-05:00, 2018-03-06T12:15:30-05:00, Fissure Treatment,
